Sample	Build	Comparison	Overlap_Y_BP	Overlap_Y_Count
Sample_9	mm39	CNVnator_vs_FREEC	9318046	50
Sample_9	mm39	CNVnator_vs_CNVkit	16104760	102
Sample_9	mm39	FREEC_vs_CNVkit	14124482	38
Sample_9	t2t	CNVnator_vs_FREEC	12796771	55
Sample_9	t2t	CNVnator_vs_CNVkit	16644120	75
Sample_9	t2t	FREEC_vs_CNVkit	15576009	56
Sample_17	mm39	CNVnator_vs_FREEC	0	0
Sample_17	mm39	CNVnator_vs_CNVkit	90592967	27
Sample_17	mm39	FREEC_vs_CNVkit	0	0
Sample_17	t2t	CNVnator_vs_FREEC	0	0
Sample_17	t2t	CNVnator_vs_CNVkit	94703109	36
Sample_17	t2t	FREEC_vs_CNVkit	0	0
Sample_164	mm39	CNVnator_vs_FREEC	6163887	36
Sample_164	mm39	CNVnator_vs_CNVkit	9183000	78
Sample_164	mm39	FREEC_vs_CNVkit	4059370	18
Sample_164	t2t	CNVnator_vs_FREEC	5662758	31
Sample_164	t2t	CNVnator_vs_CNVkit	8975061	77
Sample_164	t2t	FREEC_vs_CNVkit	7398843	26
Sample_181	mm39	CNVnator_vs_FREEC	6589926	38
Sample_181	mm39	CNVnator_vs_CNVkit	7157116	70
Sample_181	mm39	FREEC_vs_CNVkit	7041528	45
Sample_181	t2t	CNVnator_vs_FREEC	6979043	30
Sample_181	t2t	CNVnator_vs_CNVkit	10605007	61
Sample_181	t2t	FREEC_vs_CNVkit	8137231	34
